customerid,age,gender,tenure,usage_frequency,support_calls,payment_delay,subscription_type,contract_length,total_spend,last_interaction,churn,cluster
20881,54,Male,14,4,5,11,Premium,Annual,872,25,1,1
20883,19,Female,5,2,0,28,Basic,Quarterly,468,17,1,0
20889,22,Male,45,29,7,19,Standard,Annual,366,9,1,1
20890,58,Male,49,2,8,6,Standard,Quarterly,578,30,1,1
20903,52,Female,16,25,7,27,Basic,Annual,303,14,1,1
20917,34,Female,26,24,6,24,Basic,Annual,846,2,1,1
20938,40,Female,54,10,2,23,Basic,Monthly,490,3,1,0
20945,27,Male,27,11,7,26,Premium,Annual,439,9,1,1
20947,40,Male,34,17,7,20,Basic,Quarterly,148,21,1,0
20958,30,Female,40,18,5,16,Premium,Annual,903,26,1,1
20960,47,Female,50,11,10,29,Standard,Monthly,927,13,1,2
20962,65,Female,27,24,5,30,Premium,Monthly,919,14,1,2
20966,23,Male,30,25,7,18,Standard,Annual,683,22,1,1
20970,65,Female,1,5,9,25,Premium,Monthly,423,22,1,2
20973,20,Male,48,7,10,19,Standard,Monthly,960,6,1,0
20974,60,Female,41,4,4,16,Basic,Monthly,987,21,1,0
20977,52,Male,54,5,8,15,Standard,Quarterly,793,27,1,1
20983,25,Male,31,17,5,30,Basic,Annual,360,19,1,1
20985,25,Female,51,13,8,25,Premium,Monthly,346,30,1,2
20987,22,Female,52,15,10,27,Basic,Quarterly,945,20,1,0
20988,61,Male,43,30,8,30,Standard,Annual,331,29,1,1
20990,28,Female,25,4,9,19,Standard,Annual,142,11,1,1
21004,33,Female,24,16,9,19,Basic,Annual,986,23,1,1
21008,22,Male,34,6,5,19,Standard,Monthly,617,24,1,0
21014,24,Female,25,2,10,18,Premium,Annual,160,18,1,1
21020,55,Male,55,9,10,25,Premium,Annual,150,27,1,1
21023,36,Female,54,15,8,26,Basic,Quarterly,187,25,1,0
21026,25,Female,35,7,8,27,Basic,Monthly,802,18,1,0
21030,28,Female,43,4,0,29,Standard,Monthly,878,13,1,2
21034,58,Male,13,4,5,2,Premium,Monthly,992,6,1,2
21035,19,Male,33,20,7,22,Basic,Monthly,475,3,1,0
21045,40,Male,35,8,8,23,Standard,Quarterly,783,17,1,1
21046,56,Male,38,2,4,29,Premium,Quarterly,985,3,1,2
21053,23,Female,31,23,4,24,Premium,Monthly,955,17,1,2
21054,30,Male,39,25,10,17,Basic,Annual,692,10,1,1
21057,34,Female,50,18,0,29,Standard,Quarterly,351,24,1,2
21061,53,Male,33,10,5,27,Basic,Monthly,138,13,1,0
21062,18,Female,60,1,6,24,Basic,Annual,470,16,1,1
21064,51,Male,52,10,10,17,Basic,Annual,367,17,1,1
21066,37,Female,53,2,4,22,Basic,Quarterly,409,21,1,0
21076,61,Female,45,23,6,17,Standard,Annual,318,11,1,1
21079,60,Female,49,4,7,20,Premium,Annual,798,22,1,1
21082,20,Female,44,12,9,19,Premium,Quarterly,944,2,1,2
21084,37,Female,31,29,8,16,Premium,Monthly,655,9,1,2
21092,40,Male,43,17,10,21,Basic,Annual,640,27,1,1
21095,48,Female,17,15,7,29,Standard,Monthly,705,21,1,2
21097,45,Female,9,2,10,26,Basic,Monthly,225,18,1,0
21099,53,Female,21,10,0,27,Basic,Annual,402,12,1,1
21100,37,Female,12,22,10,25,Premium,Monthly,169,17,1,2
21101,27,Female,32,29,5,22,Basic,Quarterly,384,2,1,0
21103,37,Male,38,4,8,20,Standard,Monthly,273,16,1,0
21104,23,Female,58,12,0,28,Basic,Annual,106,12,1,1
21106,63,Male,9,1,7,3,Premium,Annual,219,24,1,1
21109,30,Female,59,20,1,26,Premium,Monthly,632,23,1,2
21110,25,Male,49,8,7,30,Basic,Monthly,708,21,1,0
21111,58,Female,45,29,10,26,Standard,Quarterly,910,5,1,2
21120,52,Female,9,4,10,14,Basic,Quarterly,924,6,1,0
21121,40,Male,52,11,6,20,Premium,Annual,647,8,1,1
21126,61,Female,31,3,5,11,Basic,Quarterly,409,21,1,0
21128,40,Female,35,18,10,16,Premium,Monthly,754,18,1,2
21135,45,Female,32,7,5,16,Standard,Quarterly,549,8,1,2
21141,35,Male,40,17,5,21,Basic,Annual,980,4,1,1
21145,59,Female,25,5,5,27,Standard,Quarterly,959,1,1,2
21155,58,Female,49,30,6,26,Standard,Quarterly,488,29,1,2
21158,53,Male,59,5,9,0,Basic,Quarterly,967,30,1,0
21169,24,Female,5,30,0,27,Standard,Monthly,347,5,1,2
21174,28,Male,32,18,7,30,Basic,Monthly,452,1,1,0
21175,23,Female,20,11,5,22,Basic,Annual,468,7,1,1
21177,57,Male,31,1,6,26,Standard,Annual,840,23,1,1
21181,37,Male,29,18,8,18,Premium,Annual,217,7,1,1
21187,64,Female,29,21,5,26,Standard,Annual,145,16,1,1
21195,62,Female,28,1,8,23,Premium,Annual,686,30,1,1
21197,19,Female,44,10,2,25,Basic,Monthly,547,26,1,0
21198,49,Female,30,13,6,30,Premium,Annual,716,27,1,1
21202,26,Female,10,17,9,25,Premium,Monthly,308,7,1,2
21206,32,Female,56,6,10,16,Standard,Annual,869,22,1,1
21207,33,Male,56,8,10,26,Basic,Quarterly,587,1,1,0
21208,61,Female,9,2,5,8,Standard,Annual,627,20,1,1
21214,53,Female,37,18,9,30,Basic,Monthly,842,19,1,0
21217,50,Male,46,8,5,17,Premium,Quarterly,194,5,1,2
21218,61,Male,34,5,5,14,Basic,Monthly,286,30,1,0
21219,35,Male,38,21,5,19,Standard,Monthly,883,5,1,0
21234,36,Female,58,5,9,29,Basic,Monthly,788,13,1,0
21235,46,Female,12,11,0,24,Premium,Monthly,723,27,1,2
21238,53,Male,6,5,5,17,Premium,Quarterly,657,12,1,2
21244,56,Female,18,1,6,24,Premium,Quarterly,657,13,1,2
21248,63,Female,21,2,5,14,Standard,Annual,561,11,1,1
21249,34,Male,58,27,9,26,Premium,Quarterly,598,10,1,2
21251,28,Male,56,29,10,25,Basic,Monthly,403,15,1,0
21252,52,Male,55,21,6,27,Basic,Quarterly,927,19,1,0
21255,55,Male,51,13,9,20,Standard,Monthly,594,19,1,0
21264,32,Male,25,15,9,28,Standard,Quarterly,234,13,1,1
21267,24,Female,59,20,10,30,Standard,Monthly,816,28,1,2
21278,53,Male,43,4,5,23,Premium,Quarterly,114,12,1,2
21286,49,Female,1,4,2,27,Basic,Quarterly,479,8,1,0
21288,55,Female,45,4,5,0,Premium,Quarterly,299,21,1,2
21297,44,Female,59,11,9,30,Standard,Quarterly,228,1,1,2
21299,50,Female,44,13,4,30,Basic,Monthly,822,26,1,0
21303,21,Female,42,7,1,28,Standard,Annual,336,5,1,1
21312,24,Female,14,21,4,25,Standard,Quarterly,440,7,1,2
21313,65,Female,11,18,9,22,Basic,Quarterly,197,18,1,0
21317,62,Male,7,2,5,27,Premium,Monthly,562,30,1,2
21340,52,Female,20,2,10,18,Premium,Quarterly,765,16,1,2
21344,53,Female,11,19,6,22,Premium,Quarterly,335,11,1,2
21350,50,Female,40,30,4,28,Standard,Quarterly,451,13,1,2
21354,41,Female,30,2,10,18,Premium,Quarterly,590,28,1,2
21355,39,Male,43,26,9,24,Standard,Annual,381,20,1,1
21356,65,Female,19,8,10,29,Basic,Monthly,661,17,1,0
21358,51,Male,54,19,7,27,Premium,Annual,951,8,1,1
21364,63,Female,47,6,10,22,Standard,Annual,233,11,1,1
21365,28,Male,32,30,6,20,Premium,Annual,104,29,1,1
21366,40,Male,30,4,6,17,Premium,Monthly,517,4,1,2
21372,33,Male,29,3,6,18,Standard,Annual,621,1,1,1
21375,54,Female,53,10,7,18,Premium,Annual,851,20,1,1
21376,61,Female,30,17,8,21,Basic,Quarterly,289,21,1,0
21377,35,Female,18,10,1,24,Basic,Quarterly,460,17,1,0
21378,38,Female,7,10,8,30,Premium,Monthly,681,11,1,2
21379,21,Female,30,1,7,21,Basic,Annual,969,6,1,1
21383,64,Male,41,4,5,9,Basic,Monthly,489,10,1,0
21392,58,Female,48,25,5,24,Basic,Quarterly,219,23,1,0
21393,45,Female,43,8,6,27,Premium,Annual,936,4,1,1
21404,26,Female,19,24,7,25,Premium,Monthly,104,18,1,2
21407,60,Female,43,29,8,19,Premium,Quarterly,838,5,1,2
21412,21,Male,33,28,6,16,Basic,Annual,902,30,1,1
21413,62,Male,35,23,7,19,Basic,Annual,405,30,1,1
21416,33,Female,15,19,9,29,Premium,Quarterly,433,2,1,2
21417,35,Female,56,2,8,18,Basic,Monthly,731,7,1,0
21425,39,Female,30,11,5,22,Standard,Monthly,162,4,1,2
21431,18,Female,29,7,4,26,Premium,Annual,206,22,1,1
21433,27,Male,35,16,9,19,Premium,Quarterly,575,28,1,2
21434,44,Female,29,20,9,28,Basic,Annual,881,24,1,1
21436,63,Male,42,13,7,28,Basic,Monthly,758,6,1,0
21438,31,Female,13,4,4,26,Basic,Quarterly,144,30,1,0
21445,44,Female,32,17,3,21,Basic,Monthly,635,17,1,0
21452,44,Female,42,14,1,28,Premium,Monthly,423,16,1,2
21453,39,Female,30,17,10,19,Premium,Annual,651,6,1,1
21457,64,Female,20,5,2,27,Standard,Monthly,552,15,1,2
21461,52,Female,7,23,7,28,Standard,Monthly,723,4,1,2
21466,49,Female,42,17,2,23,Premium,Monthly,623,7,1,2
21470,24,Female,4,15,9,27,Basic,Monthly,584,1,1,0
21471,53,Female,43,3,5,2,Basic,Quarterly,352,26,1,0
21473,31,Male,29,7,7,25,Basic,Quarterly,253,18,1,0
21476,48,Male,30,8,6,17,Premium,Quarterly,959,10,1,2
21482,39,Female,41,4,10,22,Basic,Monthly,295,18,1,0
21493,65,Female,58,23,5,28,Standard,Annual,660,12,1,1
21495,62,Female,42,13,7,19,Basic,Annual,823,27,1,1
21498,42,Male,53,6,9,26,Basic,Monthly,863,1,1,0
21507,25,Male,56,4,10,30,Basic,Monthly,227,14,1,0
21512,53,Male,5,1,6,2,Premium,Annual,710,13,1,1
21515,30,Female,17,10,9,27,Standard,Annual,162,12,1,1
21523,55,Female,6,21,1,23,Premium,Quarterly,257,28,1,2
21525,53,Female,57,7,5,19,Premium,Monthly,103,21,1,2
21526,28,Female,49,14,5,22,Premium,Monthly,397,6,1,2
21529,24,Female,60,30,9,26,Basic,Annual,304,25,1,1
21535,24,Female,53,1,10,26,Standard,Annual,841,6,1,1
21536,56,Female,57,26,8,18,Standard,Monthly,773,16,1,2
21543,46,Female,28,12,5,17,Basic,Monthly,761,12,1,0
21549,48,Male,26,1,5,9,Premium,Annual,268,1,1,1
21551,61,Male,48,3,10,17,Standard,Quarterly,134,4,1,1
21553,30,Female,39,13,4,22,Premium,Monthly,385,12,1,2
21557,34,Male,51,29,8,19,Standard,Monthly,372,29,1,0
21561,50,Male,44,20,5,22,Premium,Quarterly,474,20,1,2
21562,52,Female,44,1,7,14,Basic,Annual,542,4,1,1
21570,53,Male,54,28,9,30,Basic,Annual,638,27,1,1
21572,42,Female,17,5,6,23,Standard,Annual,112,24,1,1
21578,33,Female,54,18,6,25,Basic,Annual,658,16,1,1
21583,27,Female,1,15,3,26,Standard,Monthly,664,25,1,2
21586,56,Male,40,3,4,21,Basic,Quarterly,857,12,1,0
21594,35,Female,49,2,10,29,Premium,Monthly,749,19,1,2
21597,22,Female,20,22,8,23,Premium,Monthly,941,7,1,2
21600,51,Male,23,1,5,15,Basic,Quarterly,699,30,1,0
21601,63,Male,37,4,6,30,Premium,Monthly,670,14,1,2
21607,47,Female,51,7,8,26,Premium,Annual,801,8,1,1
21613,50,Female,30,24,0,28,Standard,Annual,476,24,1,1
21614,56,Female,43,4,9,19,Premium,Monthly,166,9,1,2
21615,25,Female,38,13,2,26,Premium,Monthly,428,17,1,2
21618,61,Male,44,11,8,25,Basic,Annual,343,3,1,1
21621,43,Female,14,7,3,29,Basic,Annual,251,8,1,1
21622,32,Male,52,17,8,20,Premium,Annual,474,12,1,1
21624,49,Male,38,20,6,25,Premium,Monthly,994,12,1,2
21629,42,Female,57,1,9,1,Premium,Annual,135,6,1,1
21632,23,Female,46,9,9,16,Basic,Annual,620,27,1,1
21635,24,Female,37,6,5,29,Premium,Quarterly,680,12,1,2
21638,23,Female,41,4,6,29,Basic,Annual,893,19,1,1
21644,37,Female,25,15,9,27,Standard,Annual,421,6,1,1
21645,21,Female,54,5,7,25,Standard,Monthly,365,4,1,2
21653,18,Female,10,1,4,23,Basic,Annual,951,5,1,1
21654,30,Female,4,18,5,21,Premium,Annual,366,23,1,1
21655,50,Male,42,3,5,27,Premium,Monthly,136,3,1,2
21659,55,Female,15,21,3,23,Standard,Quarterly,368,21,1,2
21665,41,Female,60,26,4,25,Basic,Annual,236,11,1,1
21671,18,Male,35,21,9,29,Premium,Monthly,728,8,1,2
21674,35,Female,37,5,0,29,Basic,Monthly,607,2,1,0
21677,27,Female,29,1,5,20,Basic,Annual,340,5,1,1
21680,50,Female,32,17,10,20,Basic,Quarterly,573,26,1,0
21682,44,Female,28,26,9,30,Basic,Annual,511,6,1,1
21690,60,Female,21,28,3,24,Basic,Monthly,306,4,1,0
21697,51,Male,58,3,4,21,Premium,Annual,534,3,1,1
21698,34,Female,22,7,0,30,Standard,Quarterly,477,16,1,2
21703,26,Female,7,7,6,22,Standard,Monthly,804,29,1,2
21707,48,Female,34,30,9,16,Premium,Quarterly,850,15,1,2
21709,23,Female,30,26,0,24,Standard,Annual,327,27,1,1
21711,60,Male,59,1,9,14,Premium,Annual,357,29,1,1
21713,35,Male,32,30,9,26,Premium,Quarterly,526,5,1,2
21714,31,Female,32,2,6,26,Standard,Quarterly,913,11,1,2
21719,51,Male,40,10,8,16,Premium,Quarterly,212,28,1,2
21727,24,Female,46,24,10,23,Standard,Quarterly,278,8,1,2
21733,45,Male,42,13,9,27,Basic,Monthly,675,23,1,0
21734,43,Male,26,6,5,26,Standard,Quarterly,299,9,1,1
21737,35,Female,60,5,9,18,Standard,Monthly,715,16,1,2
21738,30,Female,27,15,9,18,Premium,Quarterly,166,5,1,2
21740,23,Female,60,7,7,24,Basic,Monthly,333,4,1,0
21744,58,Male,35,7,8,27,Standard,Annual,398,26,1,1
21746,44,Female,25,21,3,27,Premium,Monthly,808,15,1,2
21752,65,Male,52,26,7,30,Standard,Annual,794,13,1,1
21755,52,Female,18,4,5,1,Standard,Annual,295,2,1,1
21757,56,Female,50,7,2,25,Premium,Annual,312,14,1,1
21760,29,Male,28,27,5,22,Basic,Annual,474,1,1,1
21763,47,Female,50,10,7,24,Standard,Quarterly,561,25,1,2
21765,57,Male,45,2,5,10,Premium,Monthly,740,2,1,2
21770,26,Female,10,7,8,23,Premium,Annual,234,14,1,1
21772,52,Female,44,24,4,22,Premium,Monthly,583,18,1,2
21778,42,Male,55,3,8,30,Premium,Annual,962,3,1,1
21785,51,Male,30,30,5,20,Basic,Annual,842,27,1,1
21789,29,Male,58,7,5,17,Basic,Quarterly,920,13,1,0
21793,44,Female,59,1,3,29,Basic,Quarterly,281,29,1,0
21796,45,Male,50,22,10,22,Basic,Monthly,832,13,1,0
21797,62,Female,17,4,10,19,Premium,Quarterly,109,27,1,2
21798,56,Male,53,28,7,21,Basic,Monthly,586,7,1,0
21799,51,Male,52,28,8,18,Standard,Monthly,707,26,1,0
21803,48,Female,44,6,8,28,Basic,Quarterly,484,8,1,0
21810,34,Male,58,23,7,28,Standard,Monthly,573,5,1,0
21815,60,Male,54,10,8,16,Basic,Annual,915,2,1,1
21816,43,Female,54,21,9,20,Basic,Monthly,959,7,1,0
21827,62,Male,57,26,9,28,Premium,Annual,977,23,1,1
21829,54,Female,19,27,0,29,Premium,Annual,139,18,1,1
21831,36,Female,26,2,0,22,Premium,Monthly,841,18,1,2
21844,65,Female,42,23,7,21,Basic,Annual,300,6,1,1
21849,65,Female,30,26,6,27,Basic,Annual,416,10,1,1
21858,54,Male,35,14,8,16,Premium,Quarterly,163,24,1,2
21870,63,Male,29,1,5,5,Premium,Monthly,876,14,1,2
21877,26,Female,45,29,5,20,Basic,Quarterly,836,16,1,0
21885,64,Female,43,24,6,24,Premium,Quarterly,780,24,1,2
21903,40,Female,59,26,9,25,Basic,Annual,148,19,1,1
21907,24,Male,57,29,10,28,Basic,Quarterly,690,19,1,0
21912,56,Female,11,1,10,19,Premium,Quarterly,749,11,1,2
21914,44,Female,28,1,6,25,Premium,Monthly,222,10,1,2
21918,63,Female,15,5,7,16,Basic,Quarterly,137,1,1,0
21921,35,Female,43,24,5,20,Standard,Quarterly,908,9,1,2
21923,23,Female,39,28,7,27,Standard,Annual,987,3,1,1
21930,27,Male,54,4,5,23,Basic,Annual,409,23,1,1
21931,23,Male,42,1,10,21,Basic,Annual,111,19,1,1
21940,42,Male,46,28,9,26,Standard,Quarterly,614,30,1,1
21943,29,Female,32,22,8,18,Premium,Annual,522,11,1,1
21944,37,Male,47,20,7,29,Basic,Monthly,146,24,1,0
21947,34,Female,55,22,9,17,Basic,Monthly,583,26,1,0
21950,25,Female,47,25,8,19,Basic,Annual,790,2,1,1
21969,52,Female,46,27,8,29,Standard,Monthly,596,4,1,2
21977,41,Male,46,11,9,16,Standard,Monthly,799,18,1,0
21979,20,Female,49,22,6,18,Premium,Quarterly,758,3,1,2
21986,32,Female,55,16,4,22,Standard,Quarterly,468,17,1,2
21988,51,Male,6,1,0,22,Premium,Annual,529,25,1,1
22008,45,Female,53,9,6,23,Premium,Annual,969,30,1,1
22012,50,Female,39,7,9,26,Basic,Quarterly,120,1,1,0
22018,25,Female,37,25,8,25,Premium,Annual,276,4,1,1
22025,55,Female,50,19,7,25,Premium,Annual,889,12,1,1
22030,50,Female,32,21,7,17,Premium,Annual,346,25,1,1
22031,39,Female,41,1,9,28,Premium,Quarterly,343,5,1,2
22033,42,Female,32,5,5,26,Standard,Quarterly,538,26,1,2
22034,63,Female,14,1,3,26,Basic,Quarterly,440,17,1,0
22036,59,Female,58,18,6,26,Premium,Quarterly,307,4,1,2
22050,61,Female,15,14,5,26,Basic,Monthly,490,17,1,0
22054,23,Male,11,2,1,28,Basic,Annual,902,14,1,1
22061,21,Female,3,14,8,26,Premium,Monthly,450,18,1,2
22073,28,Female,45,17,7,26,Standard,Monthly,822,2,1,2
22075,64,Female,41,18,1,28,Standard,Monthly,179,20,1,2
22084,47,Male,34,17,6,22,Basic,Monthly,154,25,1,0
22085,30,Male,55,6,8,27,Basic,Monthly,394,14,1,0
22086,44,Male,26,16,9,20,Basic,Annual,807,27,1,1
22089,63,Male,50,21,7,22,Premium,Quarterly,394,25,1,2
22090,34,Female,43,4,8,28,Premium,Annual,165,19,1,1
22091,53,Male,42,19,5,21,Standard,Annual,572,8,1,1
22103,21,Male,50,17,6,17,Basic,Quarterly,280,16,1,0
22106,58,Male,55,4,10,22,Standard,Annual,117,12,1,1
22117,64,Female,34,21,8,29,Basic,Quarterly,927,8,1,0
22120,57,Male,8,1,5,4,Basic,Quarterly,137,11,1,0
22122,44,Male,41,23,6,23,Standard,Quarterly,780,15,1,1
22123,22,Female,35,9,8,20,Basic,Monthly,179,17,1,0
22124,55,Male,42,20,8,28,Basic,Annual,190,28,1,1
22125,34,Female,48,1,4,22,Premium,Monthly,334,22,1,2
22127,46,Female,49,4,8,23,Standard,Monthly,254,28,1,2
22128,46,Female,59,16,7,21,Basic,Monthly,345,4,1,0
22130,30,Male,32,27,7,28,Basic,Annual,794,5,1,1
22134,55,Male,12,2,6,16,Basic,Annual,717,28,1,1
22142,52,Female,21,11,3,22,Basic,Annual,444,5,1,1
22153,57,Female,38,10,10,24,Standard,Quarterly,280,11,1,2
22167,58,Male,24,6,8,26,Standard,Annual,597,22,1,1
22171,23,Male,60,14,6,21,Standard,Quarterly,622,16,1,1
22172,21,Female,27,6,7,16,Basic,Annual,889,21,1,1
22179,22,Female,56,2,10,15,Premium,Annual,233,19,1,1
22180,42,Female,41,7,9,24,Basic,Quarterly,161,22,1,0
22187,27,Male,49,6,8,29,Standard,Quarterly,635,16,1,1
22188,36,Male,27,19,5,19,Basic,Annual,638,26,1,1
22190,36,Male,27,23,9,20,Premium,Quarterly,836,15,1,2
22195,61,Female,5,13,5,24,Basic,Quarterly,168,5,1,0
22199,23,Female,30,2,8,21,Basic,Quarterly,760,9,1,0
22203,28,Female,24,30,7,18,Premium,Annual,867,11,1,1
22204,54,Female,49,27,4,30,Basic,Quarterly,312,17,1,0
22206,35,Female,11,24,1,21,Standard,Annual,242,23,1,1
22220,56,Female,51,7,8,28,Standard,Quarterly,904,16,1,2
22222,20,Female,41,30,10,30,Premium,Annual,741,16,1,1
22230,63,Female,50,27,5,29,Basic,Annual,431,28,1,1
22233,63,Male,37,4,10,4,Basic,Monthly,122,29,1,0
22234,62,Female,34,2,4,29,Standard,Quarterly,941,29,1,2
22237,41,Female,1,1,6,29,Standard,Monthly,972,13,1,2
22244,28,Female,35,1,6,29,Basic,Monthly,378,13,1,0
22245,65,Female,17,22,9,28,Basic,Quarterly,463,30,1,0
22246,63,Female,46,14,5,23,Standard,Monthly,489,19,1,2
22247,43,Female,37,22,6,28,Basic,Quarterly,325,4,1,0
22250,60,Male,31,7,8,29,Basic,Monthly,788,4,1,0
22266,27,Male,40,4,6,17,Premium,Annual,574,23,1,1
22267,59,Male,52,28,7,20,Standard,Monthly,497,5,1,0
22268,41,Female,42,3,3,25,Basic,Annual,293,16,1,1
22274,60,Female,32,8,5,28,Premium,Monthly,918,12,1,2
22277,24,Female,44,28,9,17,Premium,Annual,943,4,1,1
22278,52,Female,30,2,4,24,Standard,Monthly,443,27,1,2
22279,48,Male,34,4,5,21,Basic,Quarterly,385,5,1,0
22282,59,Female,7,17,6,24,Basic,Annual,454,3,1,1
22283,25,Male,30,14,10,16,Basic,Quarterly,823,24,1,0
22284,57,Female,17,2,6,10,Standard,Monthly,454,3,1,2
22285,23,Female,52,25,10,18,Standard,Quarterly,238,10,1,2
22286,32,Female,34,13,1,29,Premium,Monthly,749,10,1,2
22289,49,Male,45,25,7,21,Premium,Monthly,503,27,1,2
22291,46,Male,27,14,10,25,Premium,Quarterly,236,12,1,2
22293,47,Female,21,5,1,24,Standard,Monthly,768,25,1,2
22298,47,Female,41,17,2,26,Basic,Quarterly,420,18,1,0
22300,60,Female,21,13,3,25,Premium,Quarterly,488,16,1,2
22305,49,Female,30,5,1,26,Basic,Monthly,263,25,1,0
22314,60,Female,17,1,9,4,Standard,Quarterly,341,11,1,2
22323,56,Female,17,21,10,25,Basic,Monthly,107,18,1,0
22338,25,Female,22,10,0,29,Basic,Quarterly,168,10,1,0
22339,61,Female,52,16,6,23,Premium,Monthly,621,1,1,2
22345,41,Female,57,3,2,29,Premium,Quarterly,173,9,1,2
22348,20,Female,16,20,4,24,Standard,Annual,418,27,1,1
22349,28,Female,54,7,2,29,Premium,Monthly,702,20,1,2
22350,52,Male,25,5,9,5,Standard,Annual,715,7,1,1
22352,55,Female,12,2,0,21,Standard,Quarterly,221,28,1,2
22354,59,Female,8,9,8,23,Basic,Monthly,349,17,1,0
22355,47,Male,34,2,8,27,Premium,Annual,370,9,1,1
22358,47,Female,18,18,5,22,Premium,Monthly,282,11,1,2
22360,50,Male,59,20,7,25,Basic,Annual,562,13,1,1
22367,35,Female,31,13,10,23,Basic,Monthly,829,16,1,0
22369,53,Female,25,20,9,22,Premium,Monthly,245,18,1,2
22371,27,Male,6,2,6,6,Basic,Annual,401,6,1,1
22380,33,Female,39,12,7,26,Standard,Quarterly,212,29,1,2
22382,55,Male,8,2,9,19,Basic,Monthly,623,27,1,0
22389,32,Male,51,27,8,16,Premium,Monthly,240,17,1,2
22391,55,Male,46,18,8,22,Standard,Annual,631,15,1,1
22397,20,Female,54,7,7,25,Basic,Monthly,309,6,1,0
22399,64,Female,30,10,6,22,Standard,Monthly,805,16,1,2
22405,56,Female,17,21,9,24,Standard,Quarterly,209,28,1,2
22408,27,Female,3,6,7,25,Standard,Annual,159,21,1,1
22409,24,Male,39,30,10,26,Premium,Monthly,193,19,1,2
22414,23,Male,57,12,7,29,Basic,Quarterly,972,12,1,0
22416,52,Female,35,5,5,30,Basic,Quarterly,488,19,1,0
22417,27,Male,38,14,6,28,Premium,Annual,435,6,1,1
22419,44,Male,25,25,9,29,Basic,Monthly,834,18,1,0
22421,23,Female,50,21,3,23,Basic,Monthly,384,29,1,0
22423,38,Female,11,3,0,29,Standard,Monthly,195,26,1,2
22424,59,Female,54,1,10,9,Premium,Quarterly,823,4,1,2
22425,58,Female,34,19,5,26,Premium,Monthly,372,27,1,2
22427,62,Female,45,2,0,15,Basic,Annual,271,28,1,1
22432,19,Male,27,23,7,26,Basic,Annual,581,3,1,1
22434,64,Female,24,3,8,2,Standard,Quarterly,382,2,1,2
22436,36,Female,23,6,9,21,Standard,Quarterly,114,27,1,2
22442,43,Female,28,24,7,20,Standard,Monthly,171,16,1,2
22443,52,Male,39,2,7,18,Basic,Annual,457,15,1,1
22449,38,Female,4,4,10,24,Basic,Quarterly,329,21,1,0
22450,26,Female,27,11,10,23,Premium,Quarterly,203,13,1,2
22451,30,Female,52,18,7,17,Basic,Quarterly,579,24,1,0
22455,43,Male,37,3,6,19,Premium,Annual,829,23,1,1
22461,28,Male,41,6,7,24,Standard,Monthly,429,29,1,0
22464,37,Female,55,11,8,26,Premium,Annual,843,16,1,1
22470,28,Male,49,10,10,19,Standard,Annual,942,27,1,1
22473,34,Male,26,15,10,22,Basic,Quarterly,721,12,1,0
22474,46,Male,59,19,7,17,Basic,Quarterly,258,28,1,0
22476,21,Female,54,28,6,16,Basic,Quarterly,363,8,1,0
22478,45,Female,52,23,9,18,Basic,Annual,899,20,1,1
22490,39,Female,40,21,8,25,Basic,Annual,653,29,1,1
22492,29,Female,8,26,5,27,Premium,Monthly,148,10,1,2
22495,58,Male,29,27,7,17,Standard,Quarterly,394,5,1,1
22496,22,Female,58,10,10,30,Premium,Annual,473,19,1,1
22499,42,Male,27,28,7,20,Basic,Annual,424,18,1,1
22500,58,Female,40,27,7,23,Standard,Annual,784,8,1,1
22505,41,Female,59,9,8,21,Premium,Quarterly,872,28,1,2
22506,50,Female,56,4,7,20,Basic,Annual,156,12,1,1
22511,47,Female,13,1,2,21,Standard,Annual,267,5,1,1
22516,36,Female,12,26,10,26,Standard,Monthly,803,15,1,2
22519,65,Female,47,8,0,25,Standard,Monthly,970,26,1,2
22523,22,Female,10,30,0,26,Basic,Quarterly,160,14,1,0
22524,28,Female,58,11,8,28,Premium,Monthly,751,21,1,2
22535,27,Female,37,28,6,27,Basic,Quarterly,946,4,1,0
22541,22,Male,24,1,7,18,Premium,Annual,978,4,1,1
22546,48,Male,32,16,6,30,Standard,Monthly,485,18,1,0
22548,28,Female,42,2,4,28,Basic,Quarterly,441,18,1,0
22559,51,Male,38,29,8,30,Basic,Monthly,731,7,1,0
22563,40,Female,46,22,6,17,Basic,Quarterly,140,4,1,0
22567,44,Male,40,30,8,20,Premium,Quarterly,966,10,1,2
22572,46,Male,44,11,8,16,Premium,Annual,435,25,1,1
22574,36,Male,45,27,5,29,Standard,Monthly,649,18,1,0
22575,61,Female,36,22,6,27,Basic,Monthly,663,20,1,0
22576,53,Female,10,16,8,28,Standard,Quarterly,409,12,1,2
22578,55,Female,18,25,9,30,Premium,Annual,205,7,1,1
22579,60,Female,54,30,7,22,Basic,Quarterly,193,29,1,0
22580,61,Female,60,28,9,22,Standard,Annual,796,7,1,1
22584,18,Female,52,20,7,21,Standard,Quarterly,228,19,1,2
22594,47,Male,38,30,8,16,Basic,Monthly,472,17,1,0
22596,55,Female,28,30,8,28,Standard,Monthly,908,13,1,2
22597,61,Female,48,19,7,28,Standard,Monthly,811,12,1,2
22606,59,Male,52,15,7,23,Basic,Annual,481,10,1,1
22609,18,Male,28,10,6,24,Premium,Monthly,511,17,1,2
22619,42,Female,38,9,0,22,Basic,Annual,391,8,1,1
